id,name,type,category,description,address,suburb,city_town,region,postcode,lat,lon,phone,email,website,social_links,products,practices_tags,certifications,supply_role,notes,source_urls,last_checked
1,ACV Health Products,Farm,Organic certified operator,Certified-organic producer in Rangiora.,"27 Boys Road, Rangiora, Canterbury",,Rangiora,Canterbury,,,,,,,,FRUIT: Apples (Granny Smith),organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
2,Adamson's Apiary,Farm,Organic certified operator,Certified-organic producer in Alexandra.,"151 McPherson Rd, RD 1, Alexandra, Otago",,Alexandra,Otago,,,,,,,,"BEE PRODUCTS: Thyme Honey, Thyme Honey with Polyflora, Clover Honey, Manuka Honey, Kamahi Honey, Multifloral Honey, Beeswax, Pollen Propolis",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
3,Agape Fields Orchard,Farm,Organic certified operator,Certified-organic producer in Te Puke.,"1133c State Highway 2, RD6, Te Puke, New Zealand",,Te Puke,,,,,,,,,"FRUIT: Avocados, Figs",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
4,Agincourt Farms,Farm,Organic certified operator,Certified-organic producer in Road Ohaupo.,"74 Bell Road & 1270 Paterangi, Road Ohaupo",,Road Ohaupo,,,,,,,,,"DAIRY: Raw Milk, Live Cattle,; FEED: Pasture, Pasture Based Supplement Feed (Hay, Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
5,Avalon Farming,Farm,Organic certified operator,Certified-organic producer in Heriot..,"Millers Block - 123 Switzers Road & 379 Dunrobin Road, Heriot.  Deepdell, Heriot.",,Heriot.,,,,,,,,,"BEEF: Live Cattle; SHEEP: Sheep, Lamb, Wool; FEED: Pasture Based Supplement Feed (Hay and/or Baleage, Silage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
6,Biofarm Products,Farm,Organic certified operator,Certified-organic producer in Palmerston North.,"118 Te Matai Road, Palmerston North",,Palmerston North,,,,,,,,,"DAIRY: Raw Milk, Live Cattle;; BEEF: Live Cattle;; GOATS;; SHEEP: Sheep & Lambs FEED: Pasture & Pasture based Supplement feed (Hay, Silage & Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
7,Bostock Bros,Farm,Organic certified operator,Certified-organic producer in Hastings.,"83 Raukawa Road and 284 Ngatarawa Road, Hastings",,Hastings,,,,,,,,,POULTRY: Meat Chickens,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
8,BB Agriculture,Farm,Organic certified operator,Certified-organic producer in Haumoana.,"263 Clifton Road, Haumoana (475A Clifton Stn)",,Haumoana,,,,,,,,,GRAIN: Maize,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
9,BTK Poultry,Farm,Organic certified operator,Certified-organic producer in Himitangi.,"372 Rangiotu Road, Bainessee; 593 Himitangi Beach Road, Himitangi",,Himitangi,,,,,,,,,"POULTRY: Eggs, Chicken Manure",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
10,Charnwood Trust,Farm,Organic certified operator,Certified-organic producer in Palmerston North.,"973 Fitzherbert East Road, Palmerston North",,Palmerston North,,,,,,,,,"DAIRY: Raw Milk, Live Cattle,; BEEF: Live Cattle, NOP Animals for Meat,; FEED: Pasture Based Supplement Feed (Hay, Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
11,Cheops Feijoas,Farm,Organic certified operator,Certified-organic producer in Hastings.,"43 Paraire Rd, RD 2, Hastings",,Hastings,,,,,,,,,FRUIT: Feijoas,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
12,CK & SM Dyer,Farm,Organic certified operator,Certified-organic producer in Wyndham.,"187 Wyndham Letterbox Rd, RD, Wyndham",,Wyndham,,,,,,,,,"BEEF: Live Cattle; SHEEP: Sheep, Lamb, Wool; FEED: Pasture Based Supplement Feed (Baleage, Hay, Silage), ; GRAZING: Dairy Cattle; GRAIN: Barley and Barley Straw",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
13,Crompton Dairies,Farm,Organic certified operator,Certified-organic producer in Patea.,"56 Crompton Road & 80 Whakamara Road, Patea",,Patea,,,,,,,,,"DAIRY: Raw Milk, Live Cattle; FEED: Pasture Based Supplement feed (Hay & Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
14,Cumming & Co,Farm,Organic certified operator,Certified-organic producer in 165 Ormond Road &.,165 Ormond Road &,,165 Ormond Road &,,,,,,,,,"DAIRY: Raw Milk, Live Cattle ; BEEF: Live Cattle, NOP Animals for Meat; FEED: Pasture Based Supplement Feed",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
15,Daryl Julie Thomas Family Trust,Farm,Organic certified operator,Certified-organic producer in Mossburn.,"100 West Dome Station Road, Mossburn",,Mossburn,,,,,,,,,"GRAZING: Dairy ; FEED: Pasture Based Supplement Feed (Hay, Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
16,E.E.C.,Farm,Organic certified operator,Certified-organic producer in Stewart Island.,"Bivalve Molluscan Shellfish Marine Farms, Area 1901, Big Glory Bay, Stewart Island",,Stewart Island,,,,,,,,,MOLLUSCS: Green Shell Mussel (Perna Canliculus),organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
17,Estate of TT & WNT Winiata,Farm,Organic certified operator,Certified-organic producer in Rotorua.,"61 Barber Road, Kapenga, Rotorua",,Rotorua,,,,,,,,,BEEF: Live Cattle; GRAZING: Dairy Heifer; FEED: Pasture Based Supplement Feed,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
18,Farrand Farms,Farm,Organic certified operator,Certified-organic producer in Dargaville.,"132, 516 and 1147 Hoanga Rd, RD4, Dargaville",,Dargaville,,,,,,,,,"DAIRY: Raw Milk, Live Cattle; BEEF: Live Cattle; FEED: Pasture Based Supplement Feed (Hay, Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
19,Ferndale Properties,Farm,Organic certified operator,Certified-organic producer in Fielding.,"425 Halcombe Road, RD 11, Fielding",,Fielding,,,,,,,,,"GRAZING: Dairy heifers, ; FEED: Pasture, Pasture Based Supplement Feed (Hay, Baleage, Wheat) ; GRAIN: Wheat",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
20,Flip Farm (IG Fyfe),Farm,Organic certified operator,Certified-organic producer in Wanaka.,"193 Maungawera Valley  Road, Wanaka",,Wanaka,,,,,,,,,"BEEF: Live Cattle; SHEEP: Sheep, Lambs, Wool",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
21,"Flipp, WA & AT",Farm,Organic certified operator,Certified-organic producer in Foxton.,"116 Omanuka Rd, RD11, Foxton",,Foxton,,,,,,,,,"DAIRY: Raw Milk, Live Cattle; FEED: Pasture Based Supplement Feed (Hay, Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
22,Franski Farms,Farm,Organic certified operator,Certified-organic producer in Te Awamutu.,"308 Te Kawa Road and 289 Te Kawa Road, Te Awamutu",,Te Awamutu,,,,,,,,,"DAIRY: Raw Milk, Live Cattle ; FEED: Pasture Based Supplement Feed (Hay, Baleage, Silage, Maize); BEEF: Live Cattle, NOP Animals for Meat",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
23,Frei Dairy,Farm,Organic certified operator,Certified-organic producer in Riversdale.,"634 McAlister Road, Riversdale;",,Riversdale,,,,,,,,,"DAIRY: Raw Milk, Live Cattle; FEED: Pasture Based Supplement Feed (Hay, Baleage, Silage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
24,G&P Regenerative Farms,Farm,Organic certified operator,Certified-organic producer in Leeston.,"340 Brookside and Irwell Road, Leeston, Canterbury",,Leeston,Canterbury,,,,,,,,"VEGETABLES: Aubergine, Basil, Beetroot, Golden Beetroot, Chioggoia Beetroot, Baby Beetroot, Broccoli, Beans - Green Beans, Broad Beans, Yellow Beans, Brussel Sp",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
25,Garden Fresh Organics,Farm,Organic certified operator,Certified-organic producer in Waiuku.,"62 Pokorua Rd, Waiuku",,Waiuku,,,,,,,,,"VEGETABLES: Salad Greens, Herbs; FEED: Pasture Based Supplement Feed (Hay, Baleage); FRUIT: Feijoa, Avaocado",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
26,Gold Top,Farm,Organic certified operator,Certified-organic producer in Waipu.,"30-128 Durham Road, Waipu",,Waipu,,,,,,,,,"DAIRY: Raw Milk, Live Cattle; FEED: Pasture Based Supplement Feed (Baleage, Hay)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
27,Good Farms Dairy,Farm,Organic certified operator,Certified-organic producer in Maungaturoto.,"Dairy: 1265 State Highway 12, Maungaturoto",,Maungaturoto,,,,,,,,,"DAIRY: Raw Milk, Live Cattle; FEED: Pasture and Pasture Based Supplement Feed (Hay, Baleage, Silage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
28,Harkaway Trust,Farm,Organic certified operator,Certified-organic producer in Wanganui.,"247 Nukumaru Station Road, Waitotara, Wanganui",,Wanganui,,,,,,,,,"DAIRY: RAW Milk, Live Cattle ; BEEF: Live Cattle ; FEED: Pasture Based Supplement Feed (Hay, Baleage & Silage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
29,Hartwood Farms,Farm,Organic certified operator,Certified-organic producer in Tokoroa.,"5490 State Highway 1 South, RD1, Tokoroa",,Tokoroa,,,,,,,,,FEED: Pasture and Pasture Based Supplement Feed,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
30,Heathstock Apiaries,Farm,Organic certified operator,Certified-organic producer in North Canterbury.,"675 Broxton Road, Hawarden, North Canterbury, NZ",,North Canterbury,,,,,,,,,"BEE PRODUCTS: Liquid Honey - Manuka Honey (Mono and Multi Floral) Forest Honey Dew, clover Honey, Comb Honey and Beeswax, Bee Hives, Live Bees, Propolis.",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
31,Hinterland Food,Farm,Organic certified operator,Certified-organic producer in Taihape.,"612 Pukeokahu Road, RD3, Taihape",,Taihape,,,,,,,,,BEE PRODUCTS: Manuka Honey (Mono and Multi Floral),organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
32,Hukarere Trading Company,Farm,Organic certified operator,Certified-organic producer in West Otago.,"91, 869 & 919 Hukarere Station Rd, Tapanui, West Otago",,West Otago,,,,,,,,,"BEEF: Live Cattle; SHEEP: Sheep, Wool; FEED: Pasture Based Supplement Feed (Hay, Baleage, Silage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
33,Jem Norsewood,Farm,Organic certified operator,Certified-organic producer in Norsewood & 158 Arthurs Road Norsewood.,"75450 SH2, RD 11, Norsewood & 158 Arthurs Road Norsewood",,Norsewood & 158 Arthurs Road Norsewood,,,,,,,,,"DAIRY: Raw Milk, Live Cattle; BEEF: Live Cattle ; FEED: Pasture Based Supplement Feed (Hay, Baleage, & Maize)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
34,Jem Norsewood Ltd - Mulholland Farm,Farm,Organic certified operator,Certified-organic producer in Norsewood.,"75451 SH2, RD 11, Norsewood",,Norsewood,,,,,,,,,"DAIRY: Raw Milk, Live Cattle; BEEF: Live Cattle ; FEED: Pasture Based Supplement Feed (Hay, Baleage, & Maize)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
35,JW & HS Robinson,Farm,Organic certified operator,Certified-organic producer in 163 Kellow Road (Block2) Palmerston North.,"562 Rongotea Road; 400 Waitohi Road; 57 Duncan Road (Block 1), ( Block 2)  163 Kellow Road (Block1) Palmerston North, 163 Kellow Road (Block2) Palmerston North",,163 Kellow Road (Block2) Palmerston North,,,,,,,,,"DAIRY: Raw Milk, Live Cattle; BEEF: Live Cattle; FEED: Pasture Based Supplement Feed (Hay & Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
36,K & C Steiner,Farm,Organic certified operator,Certified-organic producer in Galatea.,"333 Jolly Road, Galatea",,Galatea,,,,,,,,,"DAIRY: Raw Milk, Live Cattle, NOP Animals for Meat; BEEF: Live Cattle; FEED: Pasture Based Supplement Feed (Hay and Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
37,K M Organics,Farm,Organic certified operator,Certified-organic producer in Matamata.,"280 Taihoa North Road, Matamata",,Matamata,,,,,,,,,GRAZING: Dairy; FEED: Pasture Based Supplement Feed (Hay & Baleage),organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
38,Karaka Organic Dairy,Farm,Organic certified operator,Certified-organic producer in Papakura.,"1016 Linwood Road, Karaka, Papakura",,Papakura,,,,,,,,,"DAIRY: Raw Milk, Live Cattle; BEEF: Live Cattle, NOP Animals for Meat; FEED: Pasture Based Supplement Feed (Hay, Baleage & Maize)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
39,Killarney Farms,Farm,Organic certified operator,Certified-organic producer in Bulls.,"466 Raumai Road, Bulls",,Bulls,,,,,,,,,"DAIRY: Raw Milk, Live Cattle, NOP animals for meat; FEED: Pasture, Pasture Based Supplement Feed (Hay & Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
40,Kilmun Trust,Farm,Organic certified operator,Certified-organic producer in Wyndham.,"265 Island Edendale Road, RD1, Wyndham",,Wyndham,,,,,,,,,"FEED: Pasture & Pasture based Supplement feed (Hay, Silage & Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
41,Kowhai Bush Land Company,Farm,Organic certified operator,Certified-organic producer in Kowhai Bush Land Company Ltd.,"Kowhai Bush Land Company Ltd,",,Kowhai Bush Land Company Ltd,,,,,,,,,"DAIRY: Raw Milk & Live Cattle, NOP Animals for Meat; FEED: Pasture and Pasture Based Supplement Feed (Hay and Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
42,Lactica,Farm,Organic certified operator,Certified-organic producer in Wanganui.,"1765 State Highway 3, Maxwell, RD4, Wanganui; Bushy Park Road, Kaiiwi, Wanganui",,Wanganui,,,,,,,,,"DAIRY: Raw Milk, Live Cattle; FEED: Pasture Based Supplement Feed (Hay & Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
43,Lammermoor Partnership,Farm,Organic certified operator,Certified-organic producer in Waipiata.,"O'Neill Road, Waipiata, Central Otago",,Waipiata,Central Otago,,,,,,,,"BEEF: Cattle ; SHEEP: Sheep, Lamb, Wool ; FEED: Pasture Based Supplement Feed (Silage, Baleage, Hay, Lucerne) GRAZING: Dairy Heifers",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
44,Lammermoor Station,Farm,Organic certified operator,Certified-organic producer in Ranfurly.,"1321 Upper Taieri Road, Serpentine,  Paerau, Ranfurly",,Ranfurly,,,,,,,,,"BEEF: Cattle ; SHEEP: Sheep, Lamb, Wool ; FEED: Pasture Based Supplement Feed (Silage, Baleage, Hay, Lucerne)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
45,Landcorp Farming Ltd - Aoraki,Farm,Organic certified operator,Certified-organic producer in Moutoa.,"Vickerman Road, Moutoa",,Moutoa,,,,,,,,,"DAIRY: Raw Milk, Live Cattle, NOP Animals for Meat; FEED: Pasture Based Supplement Feed (Hay, Silage & Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
46,Landcorp Farming Ltd - Aspiring Farm,Farm,Organic certified operator,Certified-organic producer in Foxton.,"Aspiring Organic Dairy Unit, 583 Whirokino Road, Foxton, New Zealand",,Foxton,,,,,,,,,"FEED: Pasture Based Supplement Feed (Hay, Baleage and Maize Silage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
47,Landcorp Farming Ltd - Broadlands,Farm,Organic certified operator,Certified-organic producer in Reporoa.,"2301 Broadlands Road, RD1, Reporoa, New Zealand",,Reporoa,,,,,,,,,"DAIRY: Raw Milk, Live Cattle, NOP Animals for Meat; FEED: Pasture Based Supplement Feed (Hay, Silage & Baleage); Kibbling and Storage of Organic Maize for Landc",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
48,Landcorp Farming Ltd - Burgess,Farm,Organic certified operator,Certified-organic producer in Reporoa.,"1046 Broadlands Road, RD1, Reporoa",,Reporoa,,,,,,,,,"DAIRY: Raw Milk, Live Cattle, NOP Animal for Meat; FEED: Pasture Based Supplement Feed (Hay, Silage & Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
49,Landcorp Farming Ltd - Earnslaw Farm,Farm,Organic certified operator,Certified-organic producer in Reporoa.,"1301 Broadlands Road, RD1, Reporoa",,Reporoa,,,,,,,,,"DAIRY: Raw Milk & Live Cattle, NOP Animals for Meat; FEED: Pasture Based Supplement Feed (Hay, Silage & Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
50,Landcorp Farming Ltd - Egmont Farm,Farm,Organic certified operator,Certified-organic producer in Foxton.,"Egmont Organic Dairy Unit, 120 Vickerman Road, Foxton, New Zealand",,Foxton,,,,,,,,,"DAIRY: Raw Milk, Live Cattle FEED: Pasture Based Supplement Feed (Hay, Baleage and Maize Silage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
51,Landcorp Farming Ltd - Mayflower,Farm,Organic certified operator,Certified-organic producer in Reporoa.,"1046 Broadlands Road, RD1, Reporoa",,Reporoa,,,,,,,,,"Raw milk, Live cattle (Dairy), NOP Animals for Meat; Pasture & Pasture Based Supplement Feed (Hay, Silage & Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
52,Landcorp Farming Ltd - Pastoral Organic Dairy Support Blocks,Farm,Organic certified operator,Certified-organic producer in Taupo.,"Pastoral Organic Dairy Support Blocks (Duke, Pueto, Melbourne, and The Strip), 1109 Off Road Highway, Tauhara Forest, Taupo",,Taupo,,,,,,,,,"GRAZING: Dairy Cattle and Beef, NOP Animals for Meat; FEED: Pasture, Pasture Based Supplement Feed (Hay, Silage & Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
53,Landcorp Farming Ltd - Ruapehu Farm,Farm,Organic certified operator,Certified-organic producer in Foxton.,"Ruapehu Organic Dairy Unit, 275 Whirokino Road, Foxton, New Zealand",,Foxton,,,,,,,,,"FEED: Pasture Based Supplement Feed (Hay, Baleage and Silage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
54,Landcorp Farming Ltd - Short Road,Farm,Organic certified operator,Certified-organic producer in Halcome.,"294 Short Road, Halcome",,Halcome,,,,,,,,,"Grazing: Dairy Cattle, Sheep and Beef FEED: Pasture, Pasture Based Supplement Feed (Hay, Silage & Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
55,Landcorp Farming Ltd - Tasman Farm,Farm,Organic certified operator,Certified-organic producer in Foxton.,"Tasman Organic Dairy Unit, 342 Springs Road, Foxton",,Foxton,,,,,,,,,"DAIRY: Raw Milk, Live Cattle; BEEF: Live Cattle, NOP Animals for Meat; FEED: Pasture Based Supplement Feed (Hay, Baleage and Maize Silage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
56,Landcorp Farming Ltd - Tongariro Farm,Farm,Organic certified operator,Certified-organic producer in Foxton.,"Tongariro  Organic Dairy Unit, 338 Whirokino Road, Foxton, New Zealand",,Foxton,,,,,,,,,"FEED: Pasture Based Supplement Feed (Hay, Baleage and Silage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
57,Landcorp Farming Ltd - Tutoko Dairy Unit,Farm,Organic certified operator,Certified-organic producer in Foxton.,"587 Kerekere Road, Foxton",,Foxton,,,,,,,,,"DAIRY: Raw Milk, Live Cattle, NOP Animals for Meat; FEED: Pasture Based Supplement Feed (Hay, Baleage & Silage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
58,Linton Park Farm,Farm,Organic certified operator,Certified-organic producer in Maungaturoto.,"121 Linton Road & 56 Massey Road, Marohemo, Maungaturoto",,Maungaturoto,,,,,,,,,"DAIRY: Raw Milk. FEED: Pasture, Pasture Based Supplement Feed (Baleage, Hay, Silage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
59,Macadamia Holdings NZ,Farm,Organic certified operator,Certified-organic producer in Swanson.,"23B Te Henga Road, Swanson, Auckland",,Swanson,Auckland,,,,,,,,NUTS: Macadamia Nuts,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
60,Magnolia Dairy,Farm,Organic certified operator,Certified-organic producer in Silverdale.,"1139 Weranui Rd & 437 Monowai Rd, RD1, Silverdale",,Silverdale,,,,,,,,,"DAIRY: Raw Milk, Live Cattle; BEEF: Live Cattle, NOP Animals for Meat; FEED: Pasture Based Supplement Feed (Hay & Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
61,Marphona Farms,Farm,Organic certified operator,Certified-organic producer in Pokeno.,"206, 235, 351 & 420 Bell Road, Pokeno",,Pokeno,,,,,,,,,"DAIRY: Raw Milk, Live Cattle; BEEF: Live Cattle; FEED: Pasture Based Supplement Feed (Hay, Baleage & Silage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
62,MAXX Marketing Consultants Ltd: Maxx Organics,Farm,Organic certified operator,Certified-organic producer in Golden Bay.,"306 Pomona Road, Ruby Bay & Canaan Road, Takaka, Golden Bay",,Golden Bay,,,,,,,,,"BEE PRODUCTS: ; ; Honey (Multi and Mono-Floral): Mānuka, Honey Dew, Comb Honey ; ; Wax, Propolis, Pollen, Bee Venom, Royal Jelly",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
63,McKie Family Trust,Farm,Organic certified operator,Certified-organic producer in Opunake.,"575 Kina Road, Opunake,Taranaki",,Opunake,Taranaki,,,,,,,,"DAIRY: Raw Milk, Live Cattle; BEEF: Live Cattle, NOP Animals for Meat; FEED: Pasture Based Supplement Feed (Hay & Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
64,Meadowsweet Ltd/ Goldenfields,Farm,Organic certified operator,Certified-organic producer in Christchurch.,"363 Weedons Road, Lincoln, Christchurch",,Christchurch,,,,,,,,,"VEGETABLES: Herbs - Agrimonia , Angelica archangelica, Artemisia annua, Artichoke, Ashwagandha, Astragalus, Baikal Scullcap, Broad Bean, Burdock, Calendula, Cat",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
65,Melita Honey,Farm,Organic certified operator,Certified-organic producer in Hastings.,"Office and Extraction/Storage Premises: 1030 Manchester Street, Woolwich, Hastings",,Hastings,,,,,,,,,"BEE PRODUCTS: Manuka Honey, Beeswax, Pollen & Propolis",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
66,Mexican Blackbird,Farm,Organic certified operator,Certified-organic producer in 644 Back Miranda Rd.,644 Back Miranda Rd;,,644 Back Miranda Rd,,,,,,,,,"DAIRY: Raw Milk, Live Cattle ; BEEF: Live Cattle, NOP Animals for Meat; FEED: Pasture Based Supplement Feed (Hay & Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
67,Milkoad,Farm,Organic certified operator,Certified-organic producer in Waverley.,"30 Putahi Road, RD 1 Patea & Highfield Road, RD 1 Waverley",,Waverley,,,,,,,,,"DAIRY: Raw Milk, Live Cattle,; FEED: Pasture, Pasture Based Supplement Feed (Hay, Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
68,Moturunga,Farm,Organic certified operator,Certified-organic producer in Waitotara.,"Nukumaru Station Road RD17, Waitotara",,Waitotara,,,,,,,,,"DAIRY: Raw Milk, Live Cattle; BEEF: Live Cattle, NOP Animals for Meat; FEED: Pasture Based Supplement Feed (Hay & Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
69,Moxham Milk,Farm,Organic certified operator,Certified-organic producer in Levin.,"53 Otawhiwhi Rd and 62 and 196 Piaka Rd, RD 5, Levin",,Levin,,,,,,,,,"DAIRY: Raw Milk, Live Cattle; BEEF: Live Cattle, NOP Animals for Meat; FEED: Pasture Based Supplement Feed (Hay & Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
