id,name,type,category,description,address,suburb,city_town,region,postcode,lat,lon,phone,email,website,social_links,products,practices_tags,certifications,supply_role,notes,source_urls,last_checked
137,Fillpak,Vendor,Organic certified operator,Certified-organic producer in Henderson.,"72 The Concourse, Henderson, Auckland",,Henderson,Auckland,,,,,,,,"Contract Processing: Blending, Packing, Repacking of Certified Organic Powders, Nuts, Seeds, and ; Other Formulation Products",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
138,Fonterra  Ltd – Milk Handling,Vendor,Organic certified operator,Certified-organic producer in Hamilton.,"Farm Source, 17 Home Straight, Te Rapa, Hamilton",,Hamilton,,,,,,,,,Transport - DAIRY: Liquid Raw Milk & Cream,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
139,Fonterra Brands (NZ) Ltd - The Shed,Vendor,Organic certified operator,Certified-organic producer in Mangere & 109 Fanshawe Street.,"22 Timberly Road, Auckland Business Park, Mangere & 109 Fanshawe Street, Auckland",,Mangere & 109 Fanshawe Street,Auckland,,,,,,,,Salted Butter,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
140,Fonterra Ltd – Hautapu,Vendor,Organic certified operator,Certified-organic producer in Hautapu.,"Hautapu Factory (Site No#1239), Victoria Road, Hautapu",,Hautapu,,,,,,,,,"DAIRY: (WPC) Whey Protein Concentrate (115210, 116023, 122392)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
141,Fonterra Ltd -  Crawford St Cool & Dry Stores,Vendor,Organic certified operator,Certified-organic producer in Hamilton.,"(S1987 Dry Store) 110 Crawford St, Te Rapa, Hamilton, Waikato",,Hamilton,Waikato,,,,,,,,Powders: Lactose.,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
142,Fonterra Ltd -  Eltham Collingwood Cool Store,Vendor,Organic certified operator,Certified-organic producer in Eltham.,"(S6286 Cool Store) 14 Collingwood Street, Eltham, Taranaki",,Eltham,Taranaki,,,,,,,,cheese,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
143,Fonterra Ltd -  Hautapu Cool & Dry Stores,Vendor,Organic certified operator,Certified-organic producer in Hautapu.,"(S1286 Cool Store & S1287 Dry Store) Victoria Road, Hautapu, Waikato",,Hautapu,Waikato,,,,,,,,"Powders: Milk, Protein.; Cheese",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
144,Fonterra Ltd -  Morrinsville Cool & Dry Stores,Vendor,Organic certified operator,Certified-organic producer in Morrinsville.,"(S3386 Cool Store & S3387 Dry Store) Allen Street, Morrinsville, Waikato",,Morrinsville,Waikato,,,,,,,,Powders: Milk.; Butter,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
145,Fonterra Ltd -  Tauranga Port Store,Vendor,Organic certified operator,Certified-organic producer in Tauranga.,"(S6687 Dry Store) Sulphur Point, Port of Tauranga, Tauranga",,Tauranga,,,,,,,,,"Powders: Milk, Protein.; Anhydrous Milk Fat",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
146,"Fonterra Ltd - Waitoa UHT, Cool & Dry Stores",Vendor,Organic certified operator,Certified-organic producer in Waitoa.,"(S7386 Cool Store, S7387 Dry Store & S7388 UHT Store) Corner No.1 Road and State Highway 26, Waitoa, Waikato",,Waitoa,Waikato,,,,,,,,UHT Milk.,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
147,Fonterra Ltd - Eltham,Vendor,Organic certified operator,Certified-organic producer in Eltham.,"Collingwood Street, Eltham",,Eltham,,,,,,,,,DAIRY: Repacking Organic cheese 500gm (108553),organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
148,Fonterra Ltd – Morrinsville,Vendor,Organic certified operator,Certified-organic producer in Morrinsville.,"Morrinsville Factory (Site No#3375), Allen Street, Morrinsville",,Morrinsville,,,,,,,,,"DAIRY: Whole Milk Powder (119234, 123681, 123784)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
149,Fonterra Ltd - NZ Distribution Centre Head Office,Vendor,Organic certified operator,Certified-organic producer in Auckland City.,"109 Fanshawe Street, Auckland City",,Auckland City,,,,,,,,,Dairy products as per schedules 51-57,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
150,Fonterra Waitoa UHT,Vendor,Organic certified operator,Certified-organic producer in Waitoa.,"Waitoa Factory (Site No#7337), Corner No 1 Road & SH 26, Waitoa",,Waitoa,,,,,,,,,"Anchor UHT Whole Organic Pure Milk (122820), ; Anchor UHT Skim Organic Pure Milk (122197), Anchor UHT Low Fat Organic Pure Milk (122819)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
151,Food Link International,Vendor,Organic certified operator,Certified-organic producer in Thames.,"28a Puriri Valley Road,  Thames, New Zealand",,Thames,,,,,,,,,"DRIED HERBS: Alfalfa Leaf, Barley Leaf, Chamomile, Echinacea Leaf & Root, Lavender, Lemon balm, Manuka Flower & Leaf, Nettle, Oat Leaf, Plantago, Spearmint, Whe",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
152,FoodFlo International,Vendor,Organic certified operator,Certified-organic producer in Pahiatua.,"150 Main Street, Pahiatua",,Pahiatua,,,,,,,,,"CONFECTIONERY: 3614 Honeycomb pieces Cacoa Butter coated, 3366 Salted Caramel Brittle, & 3370 Salted Caramel Brittle dust.",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
153,FSL Foods,Vendor,Organic certified operator,Certified-organic producer in Annesbrook.,"93 Bolt Road, Annesbrook, Nelson",,Annesbrook,Nelson,,,,,,,,"Bulk or Repacked Frozen Blackberry, Strawberry, Blueberry, Mango and Raspberry, Frozen Vegetables: Peas, Corn, Beans, Broccoli, Cauliflower, Carrots, Spinach an",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
154,Gavins,Vendor,Organic certified operator,Certified-organic producer in Gordonton.,"319 Ballard Road, Gordonton,",,Gordonton,,,,,,,,,"Barley, Popcorn, Peas, Wheat & Maize",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
155,Goodman Fielder NZ,Vendor,Organic certified operator,Certified-organic producer in Palmerston North.,"15 Reserve Road, Longburn, Palmerston North",,Palmerston North,,,,,,,,,"DAIRY PRODUCTS: Naturalea Organic Whole Milk, Puhoi Valley Organic Whole Milk Non-Homogenised, Meadow Fresh Organic Milk Homogenised, Puhoi Valley Organic Lite",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
156,Green Valley Dairies,Vendor,Organic certified operator,Certified-organic producer in Takanini.,"Factory: 206 Bell Road, Mangatawhiri, RD1, Pokeno; Storage and Distribution: 4-6 Tironui Station Road West, Takanini, Auckland;",,Takanini,Auckland,,,,,,,,"DAIRY PRODUCTS: Milk (Full fat, Std fat, Light fat, Semi skimmed, & Fully skimmed with added calcium; Unhomogenised and Homogenised Whole Milk); Half & Half (mi",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
157,Healy Organics,Vendor,Organic certified operator,Certified-organic producer in New Plymouth.,"86 Karamea Street, Whalers Gate, New Plymouth",,New Plymouth,,,,,,,,,"HEALTH PRODUCTS UNDER EVERKIND BRAND:; Deodorant Sticks: Wildwoods, Refresh, Ultra,; Deodorant Jars: Refresh, Ultra, Fragrance-Free ; Baby Balm: New Baby, Botty",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
158,Hilton Haulage,Vendor,Organic certified operator,Certified-organic producer in Dunedin.,"17 Duke Street, Sawyers Bay, Dunedin",,Dunedin,,,,,,,,,DAIRY:Organic Lactose and Finished Milk Powders,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
159,Jacobs Douwe Egberts New Zealand,Vendor,Organic certified operator,Certified-organic producer in East Tamaki.,"305 East Tamaki Road, East Tamaki, Auckland, New Zealand",,East Tamaki,Auckland,,,,,,,,"ROASTED COFFEE: Roasted organic coffee beans, Wild Bean Single Origin Colombian Coffee Beans, Wild Bean Signature Coffee Beans and Wild Bean Decaf Espresso Grin",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
160,Karajoz Coffee Co,Vendor,Organic certified operator,Certified-organic producer in Eden Terrace.,"3 Virginia Ave East and 16 Minnie Street, Eden Terrace, Auckland",,Eden Terrace,Auckland,,,,,,,,"ROASTED COFFEE: Karajoz, Organico, No 8, Kauri Blend, Mocha Java",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
161,Kerikeri Organic Tea,Vendor,Organic certified operator,Certified-organic producer in KeriKeri.,"82 Mangakaretu Rd, RD 2, KeriKeri",,KeriKeri,,,,,,,,,"BLACK AND GREEN TEA: All Day Cuppa, Jasmine Green, Bay Of Islands Breakfast, Green Darjeeling, Assam, New Zealand Chai, Royal Earl Green, Royal Earl Grey, Black",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
162,Keytone Enterprises (NZ) Co,Vendor,Organic certified operator,Certified-organic producer in 17 Hynds Drive Rolleston.,17 Hynds Drive Rolleston,,17 Hynds Drive Rolleston,,,,,,,,,"Instant Whole Milk Powder, Whole Milk Powder",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
163,Kiwifruit Processing Company (2021),Vendor,Organic certified operator,Certified-organic producer in Tauranga.,"37a, 48 Newnham Road, Te Puna, Tauranga;",,Tauranga,,,,,,,,,Frozen Organic (Green/Gold) Kiwifruit Puree Single Strength (Seed out),organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
164,Lammermoor Distillery,Vendor,Organic certified operator,Certified-organic producer in Paerau Ranfurly 9398.,"1321 Upper Taieri Road, Serpentine, Paerau Ranfurly 9398",,Paerau Ranfurly 9398,,,,,,,,,WHISKY: Distillation of Organic Whisky,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
165,Langdon Coffee Merchants,Vendor,Organic certified operator,Certified-organic producer in Mt Wellington.,"11 Rakino Way, Mt Wellington, Auckland",,Mt Wellington,Auckland,,,,,,,,Organic Green Coffee Beans,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
166,Lewis Road Creamery,Vendor,Organic certified operator,Certified-organic producer in Auckland City 1010.,"15 Galway Street, Level 3, Hayman Kronfeld Building, Auckland City 1010, New Zealand",,Auckland City 1010,,,,,,,,,"DAIRY PRODUCTS: Non Homogenised Milk, Homogenised Milk, Bulk Bladder, Light Milk, Single Cream",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
167,Lifestream International,Vendor,Organic certified operator,Certified-organic producer in Northcote.,"24 Kawana Street, Northcote, Auckland",,Northcote,Auckland,,,,,,,,Wheat Grass Powder; Barley; and Wheat Grass Powder,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
168,Matakana Health,Vendor,Organic certified operator,Certified-organic producer in Matakana.,"108 Omaha Flats Road, Matakana",,Matakana,,,,,,,,,"POWDERS: Acai berry, Acai bowl, Amaranth; Ashwagandha; Banana; Blackcurrant; Brocolli; Blueberry; Brown Rice Protein; Camu camu extract; Carrot Juice, Ceylon ci",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
169,Mataura Valley Milk,Vendor,Organic certified operator,Certified-organic producer in Gore.,"19 Pease Street, East Gore, Gore",,Gore,,,,,,,,,DAIRY: Instant Whole Milk Powder; Whole Milk Powder 25kg; Skim Milk Powder 25kg,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
170,McCallum Industries,Vendor,Organic certified operator,Certified-organic producer in Henderson.,"21 - 27 Mihini Road, Henderson, Auckland",,Henderson,Auckland,,,,,,,,Baby & Infant Food,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
171,Midlands Nutrition,Vendor,Organic certified operator,Certified-organic producer in Christchurch.         Sublicensee - Freight Forwarder:.,"165 Walnut Avenue, Ashburton;  Sublicensee - Storage: CoolPak Coolstores Ltd, 111 Detroit Drive, Izone, Rolleston, Christchurch.         Sublicensee - Freight Forwarder:",,Christchurch.         Sublicensee - Freight Forwarder:,,,,,,,,,"Avocado Oil, Borage Oil, Barley Grass Powder, Evening Primrose Oil, Flax Seed Oil, Flax Seed Fibre (flour), Flax Seed Meal (flake), Flax Seed Meal (pellets), Gr",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
172,Midlands Seed,Vendor,Organic certified operator,Certified-organic producer in Ashburton.,"393-405 West Street, Ashburton",,Ashburton,,,,,,,,,"Grains & Seed: Buckwheat, Carrot, Hemp, Hemp Hulled, Hemp Flour, Hemp Protein, Hemp Fibre, Brown Linseed, Golden Linseed, Ground Linseed, Flax Seed Fibre (Flour",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
173,New Zealand Dairy Collaborative,Vendor,Organic certified operator,Certified-organic producer in Ashburton.,"9 Ashford Avenue, Ashburton",,Ashburton,,,,,,,,,Contract Processing: Canned and Bagged (including Sachets) Nutritional Dairy Powders,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
174,New Zealand Global Ventures,Vendor,Organic certified operator,Certified-organic producer in Rosedale.,"8D Piermark Drive, Rosedale, Auckland",,Rosedale,Auckland,,,,,,,,"BEE PRODUCTS: Manuka Honey, Kanuka Honey, Clover Honey, Thyme Honey, Honey Dew and Beeswax",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
175,New Zealand Health Manufacturing,Vendor,Organic certified operator,Certified-organic producer in Mangere.,"7 Pavillion Drive, Airpark II, Business Centre, Mangere, Auckland",,Mangere,Auckland,,,,,,,,"Contract Processor: Health products, Dietary Supplements & Nutraceuticals",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
176,New Zealand Honey Farms,Vendor,Organic certified operator,Certified-organic producer in Christchurch.,"235 Buchanans Road, Christchurch",,Christchurch,,,,,,,,,"Contract Processing: Organic Liquid & Creamed Honey (Drums, 25kg Pails and Retail Pack)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
177,New Zealand Native Honey Products,Vendor,Organic certified operator,Certified-organic producer in Christchurch.,"296 Piha Road, Piha, Auckland; Subcontracted Freight Forwarder: GVI  Logistics Ltd, 3 Ivan Jamieson Place, Christchurch",,Christchurch,,,,,,,,,BEE PRODUCTS: ; Bulk and Packed; Manuka Honey (Bulk in Drums); ; Thyme Honey (Bulk in Drums);; RaKiwi Manuka Honey UMF 5+ (MGO 100+); RaKiwi Manuka Honey UMF 6+,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
178,New Zealand Organic Meats (NZOM),Vendor,Organic certified operator,Certified-organic producer in Tapanui.,"869 Hukarere Station Road, Wilden, Tapanui",,Tapanui,,,,,,,,,Organic Bovine and Ovine Meat,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
179,Niue Honey NZ,Vendor,Organic certified operator,Certified-organic producer in Auckland 0932.,"24a Totara Road, Stanmore Bay, Auckland 0932",,Auckland 0932,,,,,,,,,BEE PRODUCTS: Honey,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
180,NZ Beeswax,Vendor,Organic certified operator,Certified-organic producer in South Canterbury.,"44 Gladstone St South, Orari, South Canterbury",,South Canterbury,,,,,,,,,"Crude Besswax, Beeswax Pellets, Beeswax Comb Foundation",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
181,NZ Honey Group,Vendor,Organic certified operator,Certified-organic producer in Great South Road.,"1030 Manchester Street, Woolrich, Hastings; 1159 Maraekakaho Road, Hastings; Storage and Distribution of Retail Packed Honey - Happy Valley Honey, Great South Road, Auckland",,Great South Road,Auckland,,,,,,,,"Bee Products: Manuka Honey, Beeswax, Pollen & Propolis",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
182,NZ Sustainable Farming Ltd (Durham Farms),Vendor,Organic certified operator,Certified-organic producer in Waipu.,"30-128 Durham Road, Waipu",,Waipu,,,,,,,,,POULTRY: Wholesale/Retail of eggs,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
183,Open Country Dairy Ltd - Awarua,Vendor,Organic certified operator,Certified-organic producer in Auckland 2013.,"8 Business Parade, South Highbrook, East Tamaki, Auckland 2013",,Auckland 2013,,,,,,,,,"DAIRY PRODUCTS: AwaRua Brand:; AwaRua Organic Omni Care Powder, AwaRua Smart Growth Powder, ; Awarua Organic Full Cream Milk Powder ; Awarua Organic Skim Milk P",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
184,O Plus,Vendor,Organic certified operator,Certified-organic producer in 1071.,"9A John Glenn Avenue, Rosedale, Auckland, 1071",,1071,,,,,,,,,BEE PRODUCTS: Manuka Honey,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
185,Oravida NZ,Vendor,Organic certified operator,Certified-organic producer in 139 Quay Street Auckland.,"Level 3, 139 Quay Street Auckland",,139 Quay Street Auckland,,,,,,,,,DAIRY PRODUCTS: Whole Milk,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
186,PharmaNZ,Vendor,Organic certified operator,Certified-organic producer in Hamilton.,"2-18 Lincoln Street, Frankton, Hamilton",,Hamilton,,,,,,,,,Contract Processor: Wheat Leaf Powder Capsules and Barley Leaf Powder Capsules (Bulk),organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
187,RD2 International,Vendor,Organic certified operator,Certified-organic producer in Freemans Bay.,"3 Vernon Street, Freemans Bay, Auckland",,Freemans Bay,Auckland,,,,,,,,PROCESSED FRUIT & VEGETABLES: Blackcurrant juice; Carrot juice; Apple juice concentrate; Processed Feijoas; Processed; Kiwifruit; and Processed Peas,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
188,RD 2 International,Vendor,Organic certified operator,Certified-organic producer in Freemans Bay.,"3 Vernon Street, Freemans Bay, Auckland",,Freemans Bay,Auckland,,,,,,,,EXPORT of PROCESSED FRUIT & VEGETABLES: Blackcurrant juice; Carrot juice Concentrate; Apple juice concentrate; Orange juice concentrate; Processed Feijoas; Proc,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
189,RFE,Vendor,Organic certified operator,Certified-organic producer in Hastings.,"1454 Omahu Road, Hastings, New Zealand",,Hastings,,,,,,,,,"PROCESSED VEGETABLES: Beetroot, Broccoli, Carrots, Cauliflower, Celery, Kale, Kumara, Leeks, Mushrooms, Onion, Parsnip, Peas, Pumpkin, Silverbeet, and Sweetcorn",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
190,Riverlands Manawatu,Vendor,Organic certified operator,Certified-organic producer in Bulls.,"104 Ferry Road, Bulls",,Bulls,,,,,,,,,MEAT: Bovine (Cattle),organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
191,Seven Fields Limited Trading as Liberty Market,Vendor,Organic certified operator,Certified-organic producer in Christchurch.,"Cnr Fitzgerald Ave and Moorhouse Avenue, Christchurch",,Christchurch,,,,,,,,,"Fresh & Frozen Fruit and Vegetables, Frozen Chicken, Meat, Fresh Eggs, Dairy Products, Cosmetics, Seedlings, Grains & Pulses, Rice, Extra Virgin Coconut Oil, Vi",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
192,South Island Seed Dressing & Storage Co,Vendor,Organic certified operator,Certified-organic producer in Ashburton.,"7 Smallbone Drive, Ashburton",,Ashburton,,,,,,,,,"Cleaning, Drying and Storage of Seed, Grains and Pulses",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
193,Southern Seafoods,Vendor,Organic certified operator,Certified-organic producer in Christchurch.,"24 Klondyke Drive, Hornby, Christchurch",,Christchurch,,,,,,,,,MOLLUSCS: Greenshell Mussel (Perna canaliculus),organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
194,The a2 Milk Company Limited NZ,Vendor,Organic certified operator,Certified-organic producer in New Zealand 1010.,"Level 17, 51 Shortland Street, Auckland, New Zealand 1010",,New Zealand 1010,,,,,,,,,"Dairy: A2 Protein Instant Whole Milk Powder, 25kg",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
195,The Health Lab New Zealand,Vendor,Organic certified operator,Certified-organic producer in Hobsonville.,"44 Westpoint Drive, Hobsonville, Auckland",,Hobsonville,Auckland,,,,,,,,"Contract Processing: Cacao Powder, Japanese Matcha Powder, Maca Powder, Maca Powder Capsules, Spirulina Powder, Spirulina Tablets, and Slippery Elm Bark Powder",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
196,The Neat Meat Company Ltd (formerly Harmony Foods Ltd),Vendor,Organic certified operator,Certified-organic producer in Mt Wellington.,"22A Bell Ave, Mt Wellington, Auckland",,Mt Wellington,Auckland,,,,,,,,MEAT: Lamb & Beef Cuts,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
197,Trade Aid Importers,Vendor,Organic certified operator,Certified-organic producer in Christchurch..,"174 Gayhurst Road, Dallington, Christchurch.",,Christchurch.,,,,,,,,,"Green Coffee Beans, Instant Coffee, Black Loose Tea, Rooibos Loose Tea, Rooibos Tea Bags, ; Green Tea, Earl Gray Tea, Masala Chai Tea, English Breakfast Tea",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
198,Udderly Organic,Vendor,Organic certified operator,Certified-organic producer in Levin.,"218 Paiaka Road, Levin",,Levin,,,,,,,,,Pasteurised Bovine Milk: Udderly Organic Full Cream Milk ; (250 ml & 1 Litre Glass bottles; 10 Litre Stainless Steel Billies),organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
199,Valhalla Partnership,Vendor,Organic certified operator,Certified-organic producer in Palmerston North.,"442 Karere Road, Longburn, Palmerston North",,Palmerston North,,,,,,,,,Contract Processor: Seed & Grain,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
200,Venerdi,Vendor,Organic certified operator,Certified-organic producer in Kelston.,"33A Cartwright Road, Kelston, Auckland",,Kelston,Auckland,,,,,,,,"702 Sixseed Organic Sourdough loaf, 722 Organic Sixseed Sourdough 6 loaves box",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
201,Wedderspoon Organic NZ,Vendor,Organic certified operator,Certified-organic producer in Rangiora.,"Wedderspoon NZ Ltd: 621  Lineside Road, Rangiora;",,Rangiora,,,,,,,,,Honey (Liquid and Creamed),organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
202,Winston Nutritional,Vendor,Organic certified operator,Certified-organic producer in Mount Wellington.,"37 Banks Road, Mount Wellington, Auckland",,Mount Wellington,Auckland,,,,,,,,Nanocare Organic Kid's Care Nutritional Modified Milk Powder 800g,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
203,Wisdom International,Vendor,Organic certified operator,Certified-organic producer in 128 Broadway.,"Level 4, 128 Broadway, Auckland",,128 Broadway,Auckland,,,,,,,,DAIRY: WDOM Organic Whole Milk Powder; WDOM Organic Skim Milk Powder; FarmGlory Organic Whole Milk Powder; FarmGlory Organic Skim Milk Powder; STARCOW Organic W,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
204,Woolworths New Zealand,Vendor,Organic certified operator,Certified-organic producer in 80 Favona Rd.,"80 Favona Rd, Auckland",,80 Favona Rd,Auckland,,,,,,,,"Fruit and Vegetables, Chilled Meat",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
205,Wrights Vineyard and Winery Partnership,Vendor,Organic certified operator,Certified-organic producer in 19 Solander Street.,"Winery: 1093 Wharerata Road, Manutuki, Gisborne; Subcontractor (Bottling): Gisborne Wine Co, Solander Cellars, 19 Solander Street, Gisborne",,19 Solander Street,Gisborne,,,,,,,,"WINE: Varietal Wine: ; ; NATURAL WINE CO BRAND: Chardonnay 2021, 2022, 2023, 2024; Sauvignon Blanc 2023, 2024; Pinot Noir 2021, 2024; Pinot Rose 2022, 2023, 202",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
206,Zany Zeus NZ,Vendor,Organic certified operator,Certified-organic producer in Lower Hutt.,"43 Seaview Road, Seaview, Lower Hutt",,Lower Hutt,,,,,,,,,"DAIRY PRODUCTS: Cream Cheese, Crème Fraiche, Greek Yoghurt, Milk (Low fat milk, standard milk, cream), and Paneer Cheese",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
