collection,slug,title,country,region,city,address,lat,lon,listing_url,query
markets,vegan-night-makete,Vegan Night Mākete,New Zealand,Canterbury,Christchurch,"Phillipstown Community Hub, 39 Nursery Road, Christchurch",,,/markets/vegan-night-makete/,"Phillipstown Community Hub, 39 Nursery Road, Christchurch, Christchurch, Canterbury, New Zealand"
markets,jan-powers-farmers-market,Jan Powers Farmers Market,Australia,,,,,,/markets/jan-powers-farmers-market/,"Jan Powers Farmers Market, Australia"
markets,golden-bay-farmers-market,Golden Bay Farmers Market,NZ,Tasman,Takaka,The Square / Village Green,,,/markets/golden-bay-farmers-market/,"The Square / Village Green, Takaka, Tasman, NZ"
markets,lyttelton-farmers-market,Lyttelton Farmers Market,NZ,Canterbury,Christchurch,London Street (near Lyttelton Main School),,-43.6025,/markets/lyttelton-farmers-market/,"London Street (near Lyttelton Main School), Christchurch, Canterbury, NZ"
markets,catalina-bay-farmers-market,Catalina Bay Farmers Market,New Zealand,Auckland,Auckland,"Boundary Road, Catalina Bay, Hobsonville Point, Auckland 0618",,,/markets/catalina-bay-farmers-market/,"Boundary Road, Catalina Bay, Hobsonville Point, Auckland 0618, Auckland, Auckland, New Zealand"
markets,nelson-farmers-market,Nelson Farmers Market,NZ,Nelson,Nelson,Morrison Square (243 Trafalgar St),,-41.2708,/markets/nelson-farmers-market/,"Morrison Square (243 Trafalgar St), Nelson, Nelson, NZ"
markets,northey-street-organic-farmers-market,Northey Street Organic Farmers Market,AU,Queensland,Brisbane,"Northey Street City Farm, 16 Victoria Street",,,/markets/northey-street-organic-farmers-market/,"Northey Street City Farm, 16 Victoria Street, Brisbane, Queensland, AU"
stores,nourish-lane-nerang,Nourish Lane (Nerang),AU,Queensland,Gold Coast,"Shop 16, Nerang Mall, 7-27 Cayuga Street",,,/stores/nourish-lane-nerang/,"Shop 16, Nerang Mall, 7-27 Cayuga Street, Gold Coast, Queensland, AU"
stores,the-wholefood-pantry-palm-beach,The Wholefood Pantry (Palm Beach),AU,Queensland,Gold Coast,"19th Ave Shopping Centre, 155 19th Ave",,,/stores/the-wholefood-pantry-palm-beach/,"19th Ave Shopping Centre, 155 19th Ave, Gold Coast, Queensland, AU"
stores,commonsense-organics,Commonsense Organics,New Zealand,,,,,,/stores/commonsense-organics/,"Commonsense Organics, New Zealand"
stores,harris-farm-west-end,Harris Farm Markets (West End),AU,Queensland,Brisbane,"West Village, 111 Boundary St",,,/stores/harris-farm-west-end/,"West Village, 111 Boundary St, Brisbane, Queensland, AU"
stores,bellarine-wholefoods,Bellarine Wholefoods,AU,Victoria,Bellarine Peninsula,2/80 Murradoc Road,,,/stores/bellarine-wholefoods/,"2/80 Murradoc Road, Bellarine Peninsula, Victoria, AU"
stores,benge-and-co-organics-nelson,Benge & Co Organics,NZ,Tasman,Nelson,106 Bridge Street,,,/stores/benge-and-co-organics-nelson/,"106 Bridge Street, Nelson, Tasman, NZ"
stores,riverton-organic-shop,Riverton Organic Shop,NZ,Southland,Riverton,,,,/stores/riverton-organic-shop/,"Riverton Organic Shop, Riverton, Southland, NZ"
stores,homegrown-wholefoods-paraparaumu,Homegrown Wholefoods,NZ,Wellington,Paraparaumu,,,,/stores/homegrown-wholefoods-paraparaumu/,"Homegrown Wholefoods, Paraparaumu, Wellington, NZ"
stores,organic-corner-deli-whangarei,Organic Corner Deli,NZ,Northland,Whangārei,,,,/stores/organic-corner-deli-whangarei/,"Organic Corner Deli, Whangārei, Northland, NZ"
stores,bin-inn-richmond,Bin Inn Richmond,New Zealand,Tasman,Richmond,"271 Queen Street, Richmond 7020",,,/stores/bin-inn-richmond/,"271 Queen Street, Richmond 7020, Richmond, Tasman, New Zealand"
stores,honest-wholefoods-invercargill,Honest Wholefoods,NZ,Southland,Invercargill,,,,/stores/honest-wholefoods-invercargill/,"Honest Wholefoods, Invercargill, Southland, NZ"
stores,store-slug,Store or co-op name,Country name,Region or state,City or town,,,,/stores/store-slug/,"Store or co-op name, City or town, Region or state, Country name"
stores,mrs-woollys-general-store-glenorchy,Mrs. Woolly's General Store,NZ,Otago,Glenorchy,24 Oban Street,,,/stores/mrs-woollys-general-store-glenorchy/,"24 Oban Street, Glenorchy, Otago, NZ"
stores,the-source-bulk-foods-southport,The Source Bulk Foods (Southport),AU,Queensland,Gold Coast,"Shop T7 Ferry Road Market (Brickworks Centre), 107 Ferry Road",,,/stores/the-source-bulk-foods-southport/,"Shop T7 Ferry Road Market (Brickworks Centre), 107 Ferry Road, Gold Coast, Queensland, AU"
stores,westmere-butchery,Westmere Butchery,New Zealand,Auckland,Westmere,"131 Westend Road, Westmere, Auckland",,,/stores/westmere-butchery/,"131 Westend Road, Westmere, Auckland, Westmere, Auckland, New Zealand"
stores,nourish-lane-mudgeeraba,Nourish Lane (Mudgeeraba),AU,Queensland,Gold Coast,"Shop 5, Mudgeeraba Market Shopping Centre, 3 Swan Lane",,,/stores/nourish-lane-mudgeeraba/,"Shop 5, Mudgeeraba Market Shopping Centre, 3 Swan Lane, Gold Coast, Queensland, AU"
stores,she-universe-malthouse-chocolaterie,She Universe Malthouse Chocolaterie,New Zealand,Canterbury,Christchurch,"The Malthouse Cottage, 69 Colombo Street, Beckenham, Christchurch",,,/stores/she-universe-malthouse-chocolaterie/,"The Malthouse Cottage, 69 Colombo Street, Beckenham, Christchurch, Christchurch, Canterbury, New Zealand"
stores,bohemian-bakery-sumner,Bohemian Bakery (Sumner),New Zealand,Canterbury,Christchurch,"43 Nayland Street, Sumner Mall, Christchurch 8081",,,/stores/bohemian-bakery-sumner/,"43 Nayland Street, Sumner Mall, Christchurch 8081, Christchurch, Canterbury, New Zealand"
stores,earth-food-store-waikanae,Earth Food Store,NZ,Wellington,Waikanae,,,,/stores/earth-food-store-waikanae/,"Earth Food Store, Waikanae, Wellington, NZ"
stores,little-farms,Little Farms,New Zealand,Wellington,Masterton,Pirinoa / Wairarapa delivery network,,,/stores/little-farms/,"Pirinoa / Wairarapa delivery network, Masterton, Wellington, New Zealand"
stores,farro-fresh-smales-farm,Farro Fresh Smales Farm,NZ,Auckland,Auckland,"Cnr Taharoto & Shakespeare Roads, Smales Farm",,-36.7879,/stores/farro-fresh-smales-farm/,"Cnr Taharoto & Shakespeare Roads, Smales Farm, Auckland, Auckland, NZ"
stores,commonsense-kapiti,Commonsense Kapiti,NZ,Wellington,Kapiti Coast,"Coastlands Mall, State Highway 1",,-40.9158,/stores/commonsense-kapiti/,"Coastlands Mall, State Highway 1, Kapiti Coast, Wellington, NZ"
stores,farro-fresh-orakei,Farro Fresh Orakei,NZ,Auckland,Auckland,"228 Orakei Road, Orakei Bay Village",,-36.8541,/stores/farro-fresh-orakei/,"228 Orakei Road, Orakei Bay Village, Auckland, Auckland, NZ"
stores,bin-inn-blenheim,Bin Inn Blenheim,New Zealand,Marlborough,Blenheim,"32 Maxwell Road, Blenheim Central 7201",,,/stores/bin-inn-blenheim/,"32 Maxwell Road, Blenheim Central 7201, Blenheim, Marlborough, New Zealand"
stores,eithne-health-organics,Eithne Health & Organics,New Zealand,West Coast,Hokitika,"21 Revell Street, Hokitika, West Coast",,,/stores/eithne-health-organics/,"21 Revell Street, Hokitika, West Coast, Hokitika, West Coast, New Zealand"
stores,ecohive-collective-paihia,The Ecohive Collective (Paihia),New Zealand,Northland,Paihia,,,,/stores/ecohive-collective-paihia/,"The Ecohive Collective (Paihia), Paihia, Northland, New Zealand"
stores,city-honest-grocer,City Honest Grocer,New Zealand,Auckland,Grey Lynn,,-36.86,174.739,/stores/city-honest-grocer/,"City Honest Grocer, Grey Lynn, Auckland, New Zealand"
stores,bohemian-bakery-merivale,Bohemian Bakery (Merivale),New Zealand,Canterbury,Christchurch,"2/121 Papanui Road, Merivale Boutique, Christchurch 8014",,,/stores/bohemian-bakery-merivale/,"2/121 Papanui Road, Merivale Boutique, Christchurch 8014, Christchurch, Canterbury, New Zealand"
stores,pembroke-wines-and-spirits-wanaka,Pembroke Wines & Spirits,NZ,Otago,Wānaka,24 Dungarvon Street,,,/stores/pembroke-wines-and-spirits-wanaka/,"24 Dungarvon Street, Wānaka, Otago, NZ"
stores,bliss-box,Bliss Box,New Zealand,Auckland,Auckland,"13B Ride Way, Rosedale, Auckland 0632, New Zealand",,,/stores/bliss-box/,"13B Ride Way, Rosedale, Auckland 0632, New Zealand, Auckland, Auckland, New Zealand"
stores,farro-fresh-commercial-bay,Farro Fresh Commercial Bay,NZ,Auckland,Auckland,7 Queen Street (Commercial Bay),,,/stores/farro-fresh-commercial-bay/,"7 Queen Street (Commercial Bay), Auckland, Auckland, NZ"
stores,santos-organics,Santos Organics,Australia,,,,,,/stores/santos-organics/,"Santos Organics, Australia"
stores,picton-organic-store,Picton Organic Store,NZ,Marlborough,Picton,,,,/stores/picton-organic-store/,"Picton Organic Store, Picton, Marlborough, NZ"
stores,mapari-meats,Mapari Meats,New Zealand,Auckland,Mount Wellington,"Shop 13, 101 Lunn Avenue, Mount Wellington, Auckland 1072",,,/stores/mapari-meats/,"Shop 13, 101 Lunn Avenue, Mount Wellington, Auckland 1072, Mount Wellington, Auckland, New Zealand"
stores,she-universe-cacao-pod,She Universe Cacao Pod,New Zealand,Canterbury,Christchurch,,,,/stores/she-universe-cacao-pod/,"She Universe Cacao Pod, Christchurch, Canterbury, New Zealand"
stores,earthbound-organics-richmond,Earthbound Organics (Richmond),NZ,Tasman,Richmond,,,,/stores/earthbound-organics-richmond/,"Earthbound Organics (Richmond), Richmond, Tasman, NZ"
stores,lily-and-lotus,Lily and Lotus,New Zealand,Auckland,Ostend,"24 Belgium Street, Ostend, Waiheke Island",,,/stores/lily-and-lotus/,"24 Belgium Street, Ostend, Waiheke Island, Ostend, Auckland, New Zealand"
stores,interfood-grocery,InterFood Grocery,New Zealand,West Coast,Westport,"278 Palmerston Street, Westport 7825",,,/stores/interfood-grocery/,"278 Palmerston Street, Westport 7825, Westport, West Coast, New Zealand"
stores,bin-inn-papamoa,Bin Inn Papamoa,NZ,Bay of Plenty,Tauranga,"60 Gravatt Road, Fashion Island",,,/stores/bin-inn-papamoa/,"60 Gravatt Road, Fashion Island, Tauranga, Bay of Plenty, NZ"
stores,bohemian-bakery,Bohemian Bakery,New Zealand,,,,,,/stores/bohemian-bakery/,"Bohemian Bakery, New Zealand"
stores,live2give-organics,Live2Give Organics,New Zealand,Manawatū-Whanganui,Palmerston North,"15 Cyprus Place, Fitzherbert, Palmerston North, New Zealand",,,/stores/live2give-organics/,"15 Cyprus Place, Fitzherbert, Palmerston North, New Zealand, Palmerston North, Manawatū-Whanganui, New Zealand"
stores,harris-farm-markets,Harris Farm Markets,Australia,,,,,,/stores/harris-farm-markets/,"Harris Farm Markets, Australia"
stores,feinermans-general-store,Feinerman’s General Store,New Zealand,Otago,Roxburgh,"109 Scotland Street, Roxburgh",,,/stores/feinermans-general-store/,"109 Scotland Street, Roxburgh, Roxburgh, Otago, New Zealand"
stores,soul-food-organic,Soul Food Organic,New Zealand,Otago,Queenstown,"The Market, 19 Grant Road, Frankton, Queenstown",,,/stores/soul-food-organic/,"The Market, 19 Grant Road, Frankton, Queenstown, Queenstown, Otago, New Zealand"
stores,golden-bay-organics,Golden Bay Organics,New Zealand,Tasman,Takaka,"47 Commercial Street, Takaka, Tasman",,,/stores/golden-bay-organics/,"47 Commercial Street, Takaka, Tasman, Takaka, Tasman, New Zealand"
stores,the-foodland-organic-store,The Foodland Organic Store,New Zealand,Canterbury,Christchurch,"501 Moorhouse Avenue, Waltham, Christchurch 8011, New Zealand",,,/stores/the-foodland-organic-store/,"501 Moorhouse Avenue, Waltham, Christchurch 8011, New Zealand, Christchurch, Canterbury, New Zealand"
stores,mapua-organics,Mapua Organics,NZ,Tasman,Mapua,,,,/stores/mapua-organics/,"Mapua Organics, Mapua, Tasman, NZ"
stores,the-source-bulk-foods-byron-bay,The Source Bulk Foods (Byron Bay),AU,New South Wales,Byron Bay,"Shop 1, 107 Jonson St",,,/stores/the-source-bulk-foods-byron-bay/,"Shop 1, 107 Jonson St, Byron Bay, New South Wales, AU"
stores,westland-whole-foods,Westland Whole Foods,New Zealand,West Coast,Greymouth,"35 Guinness Street, Greymouth 7805",,,/stores/westland-whole-foods/,"35 Guinness Street, Greymouth 7805, Greymouth, West Coast, New Zealand"
stores,wee-shop-organics,The Wee Shop Organics,New Zealand,Tasman,Ruby Bay,"155 Stafford Drive, Ruby Bay, Mapua 7005",,,/stores/wee-shop-organics/,"155 Stafford Drive, Ruby Bay, Mapua 7005, Ruby Bay, Tasman, New Zealand"
stores,wholefood-co-op-hokitika,Wholefood Co-op Hokitika,NZ,West Coast,Hokitika,,,,/stores/wholefood-co-op-hokitika/,"Wholefood Co-op Hokitika, Hokitika, West Coast, NZ"
stores,greenspace-organic-shop,Greenspace Organic Shop,New Zealand,Auckland,Ostend,"20 Tahi Road, Ostend, Waiheke Island",,,/stores/greenspace-organic-shop/,"20 Tahi Road, Ostend, Waiheke Island, Ostend, Auckland, New Zealand"
stores,organic-buzz,Organic Buzz,New Zealand,Manawatū-Whanganui,Palmerston North,"Shop 1, 337 Broadway Avenue, Palmerston North",,,/stores/organic-buzz/,"Shop 1, 337 Broadway Avenue, Palmerston North, Palmerston North, Manawatū-Whanganui, New Zealand"
stores,ooooby-online-organic-boxes,Ooooby (Online Organic Boxes),NZ,Canterbury,Christchurch,N/A (HQ: 5 Waterman Place),,,/stores/ooooby-online-organic-boxes/,"N/A (HQ: 5 Waterman Place), Christchurch, Canterbury, NZ"
stores,soulfood-organic-wanaka,Soulfood Organic,NZ,Otago,Wānaka,,,,/stores/soulfood-organic-wanaka/,"Soulfood Organic, Wānaka, Otago, NZ"
stores,anitas-organic-store-blenheim,Anita’s Organic Store,New Zealand,Marlborough,Blenheim,"46B Wynen Street, Blenheim, Marlborough",,,/stores/anitas-organic-store-blenheim/,"46B Wynen Street, Blenheim, Marlborough, Blenheim, Marlborough, New Zealand"
stores,she-universe-riverside-chocolaterie,She Universe Riverside Chocolaterie,New Zealand,Canterbury,Christchurch,"Riverside Market Lane, 84 Cashel Street, Christchurch Central",,,/stores/she-universe-riverside-chocolaterie/,"Riverside Market Lane, 84 Cashel Street, Christchurch Central, Christchurch, Canterbury, New Zealand"
stores,freshchoice-nelson-city,FreshChoice Nelson City,New Zealand,Tasman,Nelson,"69 Collingwood Street, Nelson City, Tasman 7010, New Zealand",,,/stores/freshchoice-nelson-city/,"69 Collingwood Street, Nelson City, Tasman 7010, New Zealand, Nelson, Tasman, New Zealand"
stores,bin-inn-glenfield,Bin Inn Glenfield,NZ,Auckland,Auckland,"Glenfield Mall, Downing St (Shop 209, L2)",,,/stores/bin-inn-glenfield/,"Glenfield Mall, Downing St (Shop 209, L2), Auckland, Auckland, NZ"
restaurants,origine-bistro-auckland,Origine Bistro,New Zealand,Auckland,Auckland,,,,/restaurants/origine-bistro-auckland/,"Origine Bistro, Auckland, Auckland, New Zealand"
restaurants,dripping-bowl-wanaka,Dripping Bowl,New Zealand,Otago,Wānaka,,,,/restaurants/dripping-bowl-wanaka/,"Dripping Bowl, Wānaka, Otago, New Zealand"
restaurants,federal-diner-wanaka,Federal Diner,New Zealand,Otago,Wānaka,,,,/restaurants/federal-diner-wanaka/,"Federal Diner, Wānaka, Otago, New Zealand"
restaurants,aro-cafe-wellington,Aro Cafe,New Zealand,Wellington,Wellington,,,,/restaurants/aro-cafe-wellington/,"Aro Cafe, Wellington, Wellington, New Zealand"
restaurants,good-earth-cafe-dunedin,The Good Earth Cafe,New Zealand,Otago,Dunedin,,,,/restaurants/good-earth-cafe-dunedin/,"The Good Earth Cafe, Dunedin, Otago, New Zealand"
restaurants,the-origin-christchurch,The Origin,New Zealand,Canterbury,Christchurch,,,,/restaurants/the-origin-christchurch/,"The Origin, Christchurch, Canterbury, New Zealand"
restaurants,restaurant-slug,Restaurant or café name,Country name,Region or state,City or town,,,,/restaurants/restaurant-slug/,"Restaurant or café name, City or town, Region or state, Country name"
restaurants,the-lotus-heart-christchurch,The Lotus-Heart,New Zealand,Canterbury,Christchurch,,,,/restaurants/the-lotus-heart-christchurch/,"The Lotus-Heart, Christchurch, Canterbury, New Zealand"
restaurants,matatoki-cheese-barn,Matatoki Cheese Barn,New Zealand,Waikato,Matatoki,,,,/restaurants/matatoki-cheese-barn/,"Matatoki Cheese Barn, Matatoki, Waikato, New Zealand"
restaurants,arcadia-restaurant-waiheke,Arcadia Restaurant,New Zealand,Auckland,Palm Beach,"39 Palm Road, Palm Beach, Waiheke Island",,,/restaurants/arcadia-restaurant-waiheke/,"39 Palm Road, Palm Beach, Waiheke Island, Palm Beach, Auckland, New Zealand"
restaurants,misters-auckland,Misters,New Zealand,Auckland,Auckland,,,,/restaurants/misters-auckland/,"Misters, Auckland, Auckland, New Zealand"
restaurants,neo-cafe-wellington,Neo Cafe & Eatery,New Zealand,Wellington,Wellington,,,,/restaurants/neo-cafe-wellington/,"Neo Cafe & Eatery, Wellington, Wellington, New Zealand"
restaurants,fridas-field,Frida's Field,Australia,New South Wales,Byron Bay,76 Booyong Rd,,,/restaurants/fridas-field/,"76 Booyong Rd, Byron Bay, New South Wales, Australia"
restaurants,driving-creek-cafe,Driving Creek Café,New Zealand,Waikato,Coromandel,,,,/restaurants/driving-creek-cafe/,"Driving Creek Café, Coromandel, Waikato, New Zealand"
restaurants,barefoot-eatery-christchurch,Barefoot Eatery,New Zealand,Canterbury,Christchurch,,,,/restaurants/barefoot-eatery-christchurch/,"Barefoot Eatery, Christchurch, Canterbury, New Zealand"
restaurants,hapi-organic-cafe-napier,Hapi Organic Cafe & Maara,New Zealand,Hawke's Bay,Napier,,,,/restaurants/hapi-organic-cafe-napier/,"Hapi Organic Cafe & Maara, Napier, Hawke's Bay, New Zealand"
restaurants,kopupako-kitchen,Kopupako Kitchen,New Zealand,Wellington,Newtown,,-41.312,174.779,/restaurants/kopupako-kitchen/,"Kopupako Kitchen, Newtown, Wellington, New Zealand"
restaurants,pepper-tree-coromandel,The Pepper Tree Restaurant,New Zealand,Waikato,Coromandel,,,,/restaurants/pepper-tree-coromandel/,"The Pepper Tree Restaurant, Coromandel, Waikato, New Zealand"
